A0_1;C9_0;ccaa_etapa;pernoc_etapa
20190500000823;01;09;8
20190500000827;01;09;4
20190500000831;01;09;35
20190500000834;01;09;5
20190500000837;01;01;2
20190500000837;02;10;2
20190500000839;01;14;1
20190500000840;01;10;90
20190500000843;01;10;15
20190500000844;01;10;21
20190500000845;01;09;6
20190500000846;01;10;5
20190500000855;01;10;1
20190500000856;01;10;150
20190500000857;01;10;1
20190500000858;01;10;7
20190500000859;01;10;9
20190500000861;01;10;4
20190500000862;01;10;14
20190500000863;01;10;10
20190500000864;01;10;8
20190500000865;01;10;4
20190500000867;01;10;7
20190500000869;01;10;4
20190500000894;01;10;7
20190500000895;01;10;5
20190500000897;01;10;5
20190500000898;01;10;5
20190500000899;01;10;6
20190500000900;01;14;8
20190500000901;01;10;5
20190500000904;01;10;22
20190500000906;01;10;7
20190500000907;01;10;10
20190500000908;01;10;5
20190500000909;01;10;5
20190500000911;01;10;4
20190500000941;01;10;2
20190500000943;01;10;3
20190500000944;01;10;13
20190500000967;01;09;5
20190500000968;01;09;7
20190500000969;01;09;4
20190500000970;01;09;3
20190500000972;01;09;4
20190500000973;01;09;1
20190500000974;01;09;7
20190500000977;01;09;5
20190500000978;01;09;6
20190500000979;01;13;6
20190500000979;02;10;3
20190500000980;01;13;32
20190500000980;02;01;2
20190500000981;01;13;4
20190500000981;02;01;2
20190500000981;03;01;2
20190500000981;04;09;4
20190500000982;01;13;34
20190500000984;01;09;4
20190500000984;02;13;2
20190500001071;01;13;4
20190500001072;01;13;5
20190500001073;01;13;7
20190500001074;01;13;5
20190500001077;01;09;2
20190500001077;02;13;1
20190500001080;01;13;4
20190500001115;01;09;5
20190500001115;02;13;1
20190500001117;01;08;1
20190500001117;02;01;3
20190500001117;03;01;1
20190500001117;04;01;1
20190500001117;05;13;5
20190500001118;01;09;3
20190500001179;01;13;7
20190500001180;01;13;4
20190500001181;01;13;4
20190500001182;01;13;2
20190500001183;01;13;1
20190500001184;01;13;3
20190500001186;01;13;2
20190500001187;01;04;5
20190500001188;01;09;2
20190500001188;02;17;2
20190500001189;01;13;2
20190500001252;01;04;5
20190500001254;01;04;10
20190500001255;01;04;6
20190500001256;01;04;7
20190500001257;01;04;4
20190500001258;01;04;24
20190500001259;01;04;5
20190500001260;01;04;3
20190500001305;01;04;1
20190500001305;02;04;1
20190500001305;03;04;1
20190500001305;04;04;1
20190500001305;05;04;1
20190500001305;06;04;1
20190500001306;01;04;7
20190500001307;01;04;6
20190500001308;01;04;5
20190500001309;01;04;5
20190500001310;01;04;7
20190500001311;01;04;5
20190500001312;01;04;6
20190500001313;01;04;7
20190500001314;01;04;10
20190500001315;01;04;6
20190500001316;01;04;10
20190500001335;01;04;5
20190500001336;01;04;6
20190500001337;01;04;6
20190500001338;01;04;6
20190500001339;01;04;5
20190500001364;01;04;5
20190500001366;01;04;5
20190500001367;01;04;4
20190500001368;01;04;10
20190500001369;01;04;5
20190500001382;01;13;4
20190500001386;01;13;8
20190500001387;01;12;7
20190500001387;02;13;3
20190500001387;03;02;3
20190500001388;01;13;7
20190500001423;01;13;7
20190500001424;01;10;14
20190500001425;01;12;8
20190500001426;01;09;4
20190500001427;01;09;7
20190500001457;01;13;4
20190500001457;02;03;4
20190500001460;01;13;1
20190500001480;01;13;2
20190500001480;02;09;3
20190500001480;03;04;3
20190500001481;01;13;20
20190500001481;02;10;3
20190500001482;01;01;3
20190500001482;02;01;2
20190500001482;03;01;3
20190500001482;04;13;2
20190500001489;01;13;4
20190500001512;01;13;6
20190500001513;01;13;3
20190500001514;01;13;5
20190500001514;02;07;2
20190500001518;01;02;6
20190500001519;01;13;2
20190500001519;02;01;4
20190500001520;01;13;5
20190500001520;02;09;8
20190500001542;01;10;5
20190500001549;01;09;3
20190500001580;01;09;2
20190500001590;01;01;2
20190500001590;02;10;2
20190500001590;03;09;2
20190500001690;01;09;7
20190500001694;01;09;12
20190500001697;01;09;15
20190500001698;01;09;8
20190500001699;01;01;21
20190500001703;01;09;7
20190500001704;01;09;6
20190500001706;01;10;21
20190500001708;01;10;13
20190500001709;01;10;10
20190500001716;01;09;7
20190500001717;01;10;14
20190500001718;01;09;21
20190500001721;01;10;5
20190500001724;01;10;15
20190500001725;01;10;4
20190500001727;01;10;5
20190500001728;01;10;9
20190500001730;01;10;7
20190500001731;01;10;7
20190500001734;01;10;7
20190500001735;01;10;4
20190500001737;01;10;4
20190500001738;01;10;8
20190500001740;01;10;8
20190500001741;01;08;12
20190500001742;01;10;30
20190500001745;01;10;45
20190500001746;01;10;7
20190500001747;01;10;2
20190500001774;01;10;14
20190500001774;02;10;1
20190500001775;01;14;6
20190500001777;01;10;14
20190500001779;01;10;21
20190500001780;01;10;7
20190500001781;01;10;7
20190500001783;01;10;7
20190500001784;01;10;5
20190500001785;01;10;7
20190500001786;01;10;6
20190500001787;01;10;7
20190500001789;01;10;6
20190500001792;01;10;5
20190500001795;01;14;10
20190500001796;01;10;7
20190500001849;01;09;2
20190500001850;01;09;3
20190500001852;01;09;4
20190500001898;01;09;3
20190500001899;01;09;5
20190500001900;01;09;5
20190500001901;01;09;7
20190500001920;01;09;4
20190500001921;01;09;6
20190500001922;01;09;7
20190500001923;01;09;10
20190500001924;01;09;8
20190500001925;01;09;4
20190500001926;01;09;5
20190500001927;01;09;4
20190500001951;01;09;4
20190500001952;01;09;21
20190500001953;01;09;7
20190500001954;01;09;120
20190500001997;01;09;3
20190500001998;01;09;4
20190500001999;01;09;3
20190500002000;01;09;6
20190500002025;01;09;5
20190500002026;01;09;2
20190500002027;01;09;9
20190500002028;01;09;5
20190500002029;01;09;5
20190500002030;01;09;4
20190500002031;01;09;4
20190500002033;01;04;6
20190500002056;01;04;7
20190500002057;01;04;7
20190500002058;01;04;7
20190500002062;01;04;5
20190500002063;01;04;5
20190500002070;01;04;7
20190500002071;01;04;4
20190500002072;01;04;3
20190500002073;01;04;4
20190500002074;01;04;7
20190500002093;01;04;7
20190500002094;01;04;7
20190500002095;01;04;7
20190500002098;01;04;14
20190500002099;01;04;5
20190500002104;01;04;4
20190500002105;01;04;6
20190500002106;01;04;4
20190500002107;01;04;4
20190500002109;01;01;10
20190500002110;01;01;7
20190500002112;01;01;45
20190500002114;01;01;6
20190500002148;01;01;7
20190500002149;01;01;14
20190500002150;01;01;5
20190500002151;01;01;20
20190500002171;01;01;4
20190500002172;01;01;7
20190500002173;01;01;3
20190500002174;01;01;7
20190500002179;01;01;7
20190500002181;01;01;6
20190500002182;01;01;10
20190500002186;01;01;8
20190500002187;01;01;22
20190500002187;02;10;2
20190500002189;01;01;5
20190500002190;01;01;7
20190500002193;01;01;7
20190500002202;01;04;3
20190500002203;01;04;7
20190500002204;01;04;7
20190500002205;01;04;5
20190500002228;01;04;7
20190500002229;01;04;7
20190500002231;01;04;7
20190500002232;01;04;7
20190500002236;01;04;9
20190500002237;01;04;7
20190500002238;01;04;7
20190500002239;01;04;6
20190500002289;01;04;4
20190500002290;01;04;7
20190500002291;01;04;7
20190500002317;01;04;8
20190500002318;01;04;7
20190500002319;01;04;7
20190500002322;01;04;7
20190500002323;01;04;3
20190500002350;01;10;14
20190500002351;01;10;3
20190500002351;02;10;5
20190500002352;01;10;4
20190500002353;01;10;12
20190500002354;01;10;4
20190500002356;01;10;3
20190500002358;01;10;4
20190500002359;01;10;45
20190500002360;01;10;6
20190500002373;01;10;6
20190500002374;01;10;6
20190500002376;01;10;3
20190500002377;01;10;15
20190500002378;01;10;12
20190500002465;01;10;3
20190500002466;01;10;7
20190500002468;01;10;4
20190500002469;01;10;3
20190500002470;01;10;4
20190500002471;01;10;7
20190500002473;01;10;4
20190500002474;01;10;7
20190500002475;01;10;2
20190500002493;01;09;6
20190500002494;01;09;7
20190500002515;01;09;21
20190500002516;01;09;3
20190500002517;01;09;7
20190500002518;01;09;7
20190500002519;01;09;2
20190500002520;01;09;4
20190500002521;01;09;4
20190500002522;01;09;5
20190500002523;01;09;6
20190500002557;01;09;1
20190500002557;02;09;1
20190500002558;01;01;5
20190500002559;01;09;1
20190500002559;02;09;1
20190500002561;01;09;3
20190500002562;01;09;4
20190500002564;01;09;3
20190500002565;01;10;17
20190500002567;01;10;6
20190500002568;01;10;14
20190500002571;01;10;14
20190500002572;01;10;14
20190500002575;01;10;14
20190500002577;01;10;7
20190500002580;01;14;14
20190500002584;01;10;45
20190500002585;01;10;15
20190500002587;01;10;15
20190500002590;01;10;30
20190500002592;01;10;21
20190500002597;01;01;60
20190500002598;01;10;23
20190500002605;01;17;1
20190500002605;02;06;1
20190500002605;03;03;1
20190500002607;01;07;1
20190500002617;01;01;3
20190500002617;02;01;3
20190500002617;03;10;3
20190500002628;01;01;7
20190500002639;01;01;14
20190500002644;01;14;13
20190500002651;01;02;6
20190500002698;01;12;1
20190500002721;01;01;3
20190500002721;02;13;1
20190500002723;01;10;10
20190500002723;02;02;1
20190500002735;01;10;15
20190500002736;01;09;7
20190500002738;01;09;1
20190500002740;01;09;7
20190500002741;01;09;15
20190500002744;01;09;7
20190500002748;01;01;21
20190500002753;01;09;8
20190500002754;01;10;14
20190500002757;01;10;7
20190500002760;01;09;4
20190500002763;01;09;4
20190500002765;01;01;8
20190500002772;01;11;14
20190500002773;01;06;3
20190500002774;01;11;7
20190500002817;01;04;5
20190500002818;01;04;3
20190500002819;01;04;10
20190500002837;01;04;6
20190500002838;01;04;4
20190500002839;01;04;6
20190500002840;01;04;5
20190500002841;01;04;3
20190500002842;01;04;1
20190500002843;01;04;2
20190500002845;01;04;2
20190500002846;01;04;4
20190500002847;01;04;3
20190500002848;01;04;5
20190500002857;01;04;3
20190500002858;01;04;2
20190500002859;01;04;3
20190500002872;01;04;6
20190500002873;01;04;6
20190500002874;01;04;5
20190500002875;01;04;5
20190500002876;01;04;3
20190500002878;01;04;2
20190500002879;01;04;3
20190500002880;01;04;4
20190500002881;01;04;4
20190500002882;01;04;4
20190500002883;01;04;4
20190500002921;01;13;4
20190500002923;01;13;2
20190500002923;02;06;4
20190500002923;03;13;3
20190500002924;01;13;4
20190500002925;01;13;2
20190500002963;01;13;5
20190500002965;01;13;2
20190500002965;02;11;11
20190500002966;01;07;4
20190500002967;01;09;3
20190500002967;02;13;2
20190500003000;01;13;4
20190500003002;01;13;1
20190500003002;02;01;2
20190500003002;03;13;2
20190500003004;01;01;10
20190500003005;01;08;2
20190500003005;02;13;3
20190500003056;01;13;14
20190500003059;01;13;5
20190500003059;02;05;3
20190500003060;01;13;6
20190500003061;01;12;5
20190500003100;01;12;9
20190500003101;01;13;5
20190500003102;01;13;11
20190500003133;01;07;5
20190500003135;01;07;15
20190500003347;01;10;4
20190500003348;01;10;2
20190500003349;01;10;2
20190500003350;01;10;4
20190500003351;01;10;3
20190500003352;01;14;4
20190500003353;01;10;2
20190500003354;01;09;5
20190500003355;01;10;3
20190500003356;01;10;4
20190500003357;01;10;3
20190500003358;01;10;3
20190500003358;02;09;3
20190500003359;01;09;5
20190500003360;01;09;10
20190500003361;01;09;4
20190500003362;01;09;4
20190500003363;01;09;1
20190500003364;01;09;2
20190500003365;01;09;4
20190500003366;01;09;3
20190500003383;01;09;3
20190500003384;01;13;2
20190500003384;02;01;1
20190500003384;03;01;1
20190500003384;04;01;1
20190500003384;05;09;2
20190500003385;01;13;2
20190500003385;02;01;4
20190500003385;03;09;2
20190500003386;01;09;7
