"mes";"A1";"pais";"ccaa";"A13";"aloja";"motivo";"A16";"gastototal";"gastomedio"
1;2;5;10;3;1;1;6;464.83288044;154.94429348
1;2;5;10;14;3;3;6;678.16345789;48.4402469921429
1;2;8;10;3;3;3;6;450.28523855;150.095079516667
1;2;9;10;3;3;1;6;474.95017983;158.31672661
1;2;9;10;3;2;1;6;569.07177898;189.690592993333
1;1;8;1;20;3;1;6;955.92513417;47.7962567085
1;1;1;1;14;3;3;6;699.73564231;49.9811173078571
1;1;8;1;30;3;1;6;1162.5461661;38.75153887
1;1;8;11;2;3;1;6;191.19266839;95.596334195
1;1;8;1;7;3;1;6;798.88755386;114.126793408571
1;1;8;1;10;2;1;6;664.87524948;66.487524948
1;1;8;1;16;2;3;6;867.05722537;54.191076585625
1;1;1;7;1;1;1;6;283.28571397;283.28571397
1;1;8;1;30;1;1;6;2462.3091155;82.0769705166667
1;3;14;9;6;3;1;1;1109.7942295;184.965704916667
1;3;14;9;4;1;1;1;719.29673951;179.8241848775
1;3;1;9;3;1;1;1;527.33389443;175.77796481
1;3;14;9;2;1;1;1;3792.1085179;1896.05425895
1;3;14;9;3;1;1;1;3545.0528881;1181.68429603333
1;2;14;1;4;1;2;6;1617.3700208;404.3425052
1;2;15;9;2;1;1;1;750.08869595;375.044347975
1;2;15;9;2;1;1;1;750.08869595;375.044347975
1;2;15;9;7;1;1;1;1790.8644761;255.8377823
1;2;14;13;14;1;1;6;3242.4733852;231.6052418
1;3;14;9;5;1;1;1;695.12842408;139.025684816
1;2;10;16;4;1;2;6;1751.5241896;437.8810474
1;2;15;10;3;1;1;6;6183.1060679;2061.03535596667
1;2;15;9;3;1;2;6;2770.7056277;923.568542566667
1;2;15;9;3;1;1;6;2398.9696284;799.6565428
1;2;15;9;7;2;1;1;1856.5535699;265.221938557143
1;2;15;9;9;2;1;6;2976.793245;330.754805
1;2;15;9;4;1;1;6;2643.960228;660.990057
1;2;8;4;7;3;1;6;940.70138022;134.38591146
1;2;8;4;7;1;1;1;1071.1894452;153.0270636
1;2;8;4;7;3;1;6;1060.2696377;151.4670911
1;2;8;4;7;3;1;6;622.80576308;88.9722518685714
1;2;8;4;14;3;1;6;874.2587964;62.4470568857143
1;2;8;4;7;3;1;6;655.06943705;93.58134815
1;2;8;4;3;3;1;6;411.40356833;137.134522776667
1;3;14;9;2;1;1;1;346.98843643;173.494218215
1;3;14;9;4;1;1;1;617.01790799;154.2544769975
1;3;14;9;3;1;1;1;436.30948825;145.436496083333
1;3;14;9;4;1;1;1;693.58913761;173.3972844025
1;3;14;9;5;1;1;1;1360.5854922;272.11709844
1;3;14;9;6;1;1;1;1277.9589227;212.993153783333
1;3;14;9;4;3;1;1;557.26112835;139.3152820875
1;2;15;9;5;1;1;6;2884.236865;576.847373
1;3;13;9;2;1;1;1;876.89429113;438.447145565
1;3;12;9;3;1;1;1;525.65554389;175.21851463
1;3;4;9;4;1;1;1;591.5765222;147.89413055
1;3;15;9;15;1;1;1;1903.9684902;126.93123268
1;2;15;9;3;1;1;6;2398.9696284;799.6565428
1;2;15;9;3;2;1;6;2332.5685562;777.522852066667
1;2;15;9;3;1;1;1;1089.1128082;363.037602733333
1;2;15;9;4;1;1;1;1420.9496471;355.237411775
1;3;9;10;91;3;1;1;6762.8582634;74.3171237736264
1;3;15;9;2;1;1;1;364.74819851;182.374099255
1;3;13;10;31;2;3;1;4477.4467483;144.433766074194
1;3;14;13;7;1;1;1;1285.6076821;183.6582403
1;3;7;9;2;1;1;1;377.24329875;188.621649375
1;3;15;9;2;1;1;1;305.87882116;152.93941058
1;2;15;9;3;1;1;1;1089.1128082;363.037602733333
1;2;15;9;3;1;1;1;1089.1128082;363.037602733333
1;2;15;13;4;1;1;1;1529.6948877;382.423721925
1;2;14;14;8;1;2;6;2559.5069993;319.9383749125
1;2;10;5;10;1;3;6;1650.3692199;165.03692199
1;2;10;13;1;1;1;6;972.26086149;972.26086149
1;2;14;13;5;1;1;6;1989.4875334;397.89750668
1;2;6;4;4;3;1;6;459.61276463;114.9031911575
1;2;6;4;7;1;1;6;1202.8574938;171.836784828571
1;2;6;4;4;2;1;6;1023.62522;255.906305
1;2;6;4;7;3;1;6;649.32277878;92.7603969685714
1;2;4;14;5;1;1;6;906.21398804;181.242797608
1;2;4;10;3;3;1;6;574.69751621;191.565838736667
1;2;4;14;3;3;1;6;562.20754446;187.40251482
1;2;4;10;6;3;1;6;611.33743336;101.889572226667
1;2;4;14;3;2;3;6;782.20578154;260.735260513333
1;2;4;10;9;3;1;6;1274.143164;141.571462666667
1;2;4;10;6;1;1;6;727.46474179;121.244123631667
1;2;1;4;3;1;2;1;557.27624127;185.75874709
1;2;1;4;2;1;2;6;368.15183032;184.07591516
1;2;14;7;7;3;3;6;1386.7393514;198.105621628571
1;2;14;16;61;2;3;6;8124.5614765;133.189532401639
1;2;14;16;4;1;1;6;1859.9228894;464.98072235
1;2;1;4;2;1;2;1;407.56014199;203.780070995
1;2;1;4;2;1;2;1;407.56014199;203.780070995
1;2;1;4;2;1;2;1;345.2627825;172.63139125
1;2;1;4;2;1;2;1;407.56014199;203.780070995
